       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   5.38900895e-02   3.96062680e-02  -3.13675136e-02  -9.84138828e-14   2.26542600e-13   1.16967320e-13
  8.00000000e-08  -1.25443680e-01  -9.34404109e-02  -8.79084564e-02   5.83227511e-13  -2.75418719e-13  -5.39504037e-13
  1.60000000e-07  -7.66194316e-02  -5.76161010e-02  -6.08808795e-02   2.93422957e-13   6.80628035e-14  -4.33689752e-13
  2.40000000e-07  -5.76795795e-02  -4.36968489e-02  -3.79859277e-02   1.18202679e-13   1.35550432e-13  -3.35413884e-13
  3.20000000e-07  -5.17730177e-02  -3.95513491e-02  -2.23902986e-02   1.36528721e-14   1.43113327e-13  -2.84372069e-13
  4.00000000e-07  -4.52913055e-02  -3.48399386e-02  -1.14283173e-02  -4.68967592e-14   1.34475304e-13  -2.24100874e-13
  4.80000000e-07  -3.35609714e-02  -2.60453172e-02  -3.52757189e-03  -6.53490183e-14   1.03868296e-13  -1.45172431e-13
  5.60000000e-07   1.41552871e-02   1.10102258e-02  -1.12706898e-03   3.29771777e-14  -3.63465617e-14   5.91069102e-14
  6.40000000e-07   2.98443715e-02   2.34854308e-02  -3.68705407e-03   6.24763350e-14  -5.77592594e-14   1.37797236e-13
  7.20000000e-07   2.59935263e-02   2.06482291e-02  -4.54873607e-03   4.76765476e-14  -3.15805773e-14   1.29090497e-13
  8.00000000e-07   2.30685283e-02   1.85212046e-02  -4.56560354e-03   3.55539350e-14  -1.46860564e-14   1.20065944e-13
  8.80000000e-07   2.06986348e-02   1.68165979e-02  -4.38439577e-03   2.57490946e-14  -2.73882685e-15   1.11055977e-13
  9.60000000e-07   1.88841356e-02   1.55443457e-02  -3.95274618e-03   1.74849284e-14   5.02870859e-15   1.03309376e-13
  1.04000000e-06   1.73957959e-02   1.45191343e-02  -3.51871895e-03   1.05922977e-14   1.06384180e-14   9.62628937e-14
  1.12000000e-06   1.61985324e-02   1.37157717e-02  -3.07880237e-03   4.71914062e-15   1.46556771e-14   9.01185071e-14
  1.20000000e-06   1.52112937e-02   1.30769380e-02  -2.64590430e-03  -3.75550595e-16   1.75730255e-14   8.46926913e-14
  1.28000000e-06   1.43877874e-02   1.25682529e-02  -2.23480578e-03  -4.84918053e-15   1.97544645e-14   7.98772443e-14
  1.36000000e-06   1.36808059e-02   1.21440206e-02  -1.85685297e-03  -8.79748718e-15   2.14493328e-14   7.54633924e-14
  1.44000000e-06   1.30839821e-02   1.18070562e-02  -1.47854539e-03  -1.23843792e-14   2.26769205e-14   7.14964049e-14
  1.52000000e-06   1.25694329e-02   1.15328763e-02  -1.12830684e-03  -1.56265547e-14   2.36688654e-14   6.78478270e-14
  1.60000000e-06   1.21205382e-02   1.13090777e-02  -7.79522985e-04  -1.86117126e-14   2.43898331e-14   6.44529355e-14
  1.68000000e-06   1.17228290e-02   1.11203261e-02  -4.22731500e-04  -2.13727716e-14   2.48585288e-14   6.12341431e-14
  1.76000000e-06   2.85864136e-03   2.75943539e-03  -6.91187276e-05  -5.77179929e-15   6.34988367e-15   1.47946816e-14
  1.84000000e-06  -6.99392862e-03  -6.82910626e-03  -2.95038632e-04   1.45797525e-14  -1.33448058e-14  -3.67296015e-14
  1.92000000e-06  -9.15458823e-03  -9.13235253e-03  -6.38168102e-04   1.82125731e-14  -1.47610118e-14  -5.00273259e-14
  2.00000000e-06  -8.85490996e-03  -9.00636146e-03  -9.15259234e-04   1.67208346e-14  -1.13470906e-14  -5.01120160e-14
  2.08000000e-06  -8.58096514e-03  -8.90527638e-03  -1.19376378e-03   1.53257873e-14  -8.04584732e-15  -5.01435493e-14
  2.16000000e-06  -8.33412588e-03  -8.82960571e-03  -1.42382532e-03   1.39370312e-14  -5.06766298e-15  -5.01518728e-14
  2.24000000e-06  -8.12471011e-03  -8.78995157e-03  -1.61059938e-03   1.25490650e-14  -2.39679853e-15  -5.02233974e-14
  2.32000000e-06  -7.93855881e-03  -8.76825295e-03  -1.81194173e-03   1.12003917e-14   2.48755806e-16  -5.02754147e-14
  2.40000000e-06  -7.78099772e-03  -8.77612934e-03  -1.97515067e-03   9.80948983e-15   2.64235021e-15  -5.03846247e-14
  2.48000000e-06  -7.64125176e-03  -8.80330165e-03  -2.08915225e-03   8.33585093e-15   4.74826880e-15  -5.04974102e-14
  2.56000000e-06  -7.53590515e-03  -8.86007861e-03  -2.21943563e-03   6.86124369e-15   6.86235013e-15  -5.06915550e-14
  2.64000000e-06  -7.44540062e-03  -8.94061984e-03  -2.32393928e-03   5.30727624e-15   8.81565749e-15  -5.09188176e-14
  2.72000000e-06  -7.37423689e-03  -9.03976922e-03  -2.40333502e-03   3.66098735e-15   1.06156633e-14  -5.11622946e-14
  2.80000000e-06  -7.32807039e-03  -9.16106883e-03  -2.42970120e-03   1.87743391e-15   1.21423688e-14  -5.14446157e-14
  2.88000000e-06  -7.29340516e-03  -9.30333536e-03  -2.44815173e-03   6.69169094e-18   1.36108044e-14  -5.17429872e-14
  2.96000000e-06  -7.27202905e-03  -9.45992656e-03  -2.42996040e-03  -1.99263547e-15   1.48947295e-14  -5.20224711e-14
  3.04000000e-06  -7.26587987e-03  -9.63322335e-03  -2.39513886e-03  -4.10075064e-15   1.60944328e-14  -5.22916255e-14
  3.12000000e-06  -7.27727864e-03  -9.82894247e-03  -2.30207771e-03  -6.37138761e-15   1.70302430e-14  -5.25711687e-14
  3.20000000e-06  -7.29255758e-03  -1.00341103e-02  -2.16825630e-03  -8.77261588e-15   1.77810595e-14  -5.27808018e-14
  3.28000000e-06  -7.31883148e-03  -1.02462723e-02  -1.97249993e-03  -1.13124829e-14   1.82659668e-14  -5.29094642e-14
